lanzamiento,nivelEducativo,desempeño,nivelDelCurso,estado
Summer,Medio,mal,Basic,No Deserto
Summer,Medio,buen,Advanced,No Deserto
Winter,Medio,buen,Advanced,No Deserto
Fall,Medio,buen,Advanced,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Fall,Medio,buen,Basic,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Winter,Medio,buen,Basic,No Deserto
Spring,Bajo,mal,Intermediate,No Deserto
Winter,Bajo,mal,Intermediate,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Spring,Bajo,mal,Intermediate,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Spring,Bajo,muy buen,Basic,No Deserto
Summer,Bajo,mal,Advanced,No Deserto
Spring,Bajo,mal,Advanced,No Deserto
Spring,Bajo,buen,Basic,No Deserto
Winter,Bajo,mal,Advanced,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Winter,Bajo,mal,Basic,No Deserto
Winter,Bajo,buen,Intermediate,No Deserto
Winter,Bajo,buen,Basic,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Winter,Bajo,buen,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Advanced,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Fall,Medio,buen,Intermediate,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Advanced,No Deserto
Fall,Medio,mal,Advanced,No Deserto
Winter,Medio,mal,Advanced,No Deserto
Spring,Medio,buen,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Spring,Medio,buen,Basic,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Winter,Alto,mal,Basic,No Deserto
Winter,Bajo,mal,Basic,No Deserto
Winter,Bajo,mal,Basic,No Deserto
Spring,Bajo,mal,Intermediate,No Deserto
Winter,Bajo,mal,Advanced,No Deserto
Winter,Bajo,mal,Intermediate,No Deserto
Spring,Bajo,mal,Intermediate,No Deserto
Spring,Bajo,mal,Advanced,No Deserto
Winter,Bajo,muy buen,Intermediate,No Deserto
Spring,Bajo,mal,Advanced,No Deserto
Winter,Bajo,mal,Intermediate,No Deserto
Winter,Bajo,buen,Intermediate,No Deserto
Spring,Bajo,buen,Intermediate,No Deserto
Spring,Bajo,buen,Intermediate,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Advanced,No Deserto
Spring,Muy Alto,mal,Advanced,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Intermediate,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Winter,Muy Alto,muy buen,Basic,No Deserto
Spring,Muy Alto,muy buen,Basic,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,buen,Basic,No Deserto
Spring,Muy Alto,buen,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,buen,Intermediate,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Advanced,No Deserto
Fall,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,buen,Intermediate,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Fall,Muy Alto,mal,Intermediate,No Deserto
Winter,Muy Alto,buen,Advanced,No Deserto
Winter,Muy Alto,mal,Intermediate,No Deserto
Spring,Muy Alto,buen,Advanced,No Deserto
Winter,Muy Alto,buen,Advanced,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Basic,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Basic,No Deserto
Spring,Alto,buen,Advanced,No Deserto
Spring,Alto,mal,Advanced,No Deserto
Winter,Alto,mal,Advanced,No Deserto
Winter,Alto,mal,Basic,No Deserto
Spring,Alto,buen,Basic,No Deserto
Spring,Alto,mal,Basic,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Advanced,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Advanced,No Deserto
Winter,Alto,mal,Basic,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Winter,Alto,muy buen,Advanced,No Deserto
Spring,Alto,muy buen,Intermediate,No Deserto
Spring,Alto,buen,Advanced,No Deserto
Winter,Alto,mal,Advanced,No Deserto
Spring,Alto,mal,Advanced,No Deserto
Winter,Muy Bajo,mal,Advanced,No Deserto
Winter,Muy Bajo,buen,Intermediate,No Deserto
Winter,Muy Bajo,mal,Advanced,No Deserto
Spring,Muy Bajo,mal,Advanced,No Deserto
Winter,Muy Bajo,mal,Advanced,No Deserto
Winter,Muy Bajo,mal,Advanced,No Deserto
Spring,Muy Bajo,mal,Intermediate,No Deserto
Winter,Muy Bajo,mal,Advanced,No Deserto
Spring,Muy Bajo,mal,Intermediate,No Deserto
Spring,Medio,mal,Advanced,No Deserto
Winter,Medio,buen,Intermediate,No Deserto
Spring,Medio,buen,Intermediate,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Spring,Medio,buen,Advanced,No Deserto
Spring,Medio,buen,Intermediate,No Deserto
Winter,Medio,mal,Advanced,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Spring,Medio,buen,Advanced,No Deserto
Spring,Medio,buen,Advanced,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Advanced,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Spring,Bajo,mal,Advanced,No Deserto
Spring,Bajo,mal,Basic,No Deserto
Winter,Bajo,mal,Advanced,No Deserto
Spring,Bajo,buen,Advanced,No Deserto
Winter,Bajo,mal,Basic,No Deserto
Spring,Bajo,mal,Basic,No Deserto
Winter,Bajo,mal,Advanced,No Deserto
Spring,Bajo,mal,Advanced,No Deserto
Spring,Bajo,buen,Advanced,No Deserto
Winter,Bajo,mal,Advanced,No Deserto
Spring,Bajo,buen,Advanced,No Deserto
Winter,Bajo,mal,Advanced,No Deserto
Winter,Bajo,mal,Intermediate,No Deserto
Spring,Bajo,buen,Advanced,No Deserto
Spring,Bajo,buen,Intermediate,No Deserto
Spring,Bajo,buen,Basic,No Deserto
Spring,Bajo,mal,Basic,No Deserto
Winter,Bajo,mal,Intermediate,No Deserto
Winter,Bajo,mal,Advanced,No Deserto
Winter,Muy Bajo,mal,Intermediate,No Deserto
Spring,Muy Bajo,mal,Intermediate,No Deserto
Winter,Muy Bajo,mal,Advanced,No Deserto
Spring,Muy Bajo,buen,Advanced,No Deserto
Winter,Muy Bajo,mal,Intermediate,No Deserto
Spring,Muy Bajo,mal,Advanced,No Deserto
Winter,Muy Bajo,mal,Basic,No Deserto
Spring,Muy Bajo,mal,Intermediate,No Deserto
Spring,Muy Bajo,mal,Basic,No Deserto
Winter,Muy Bajo,mal,Basic,No Deserto
Spring,Muy Bajo,mal,Basic,No Deserto
Winter,Muy Bajo,mal,Basic,No Deserto
Spring,Muy Bajo,mal,Intermediate,No Deserto
Winter,Muy Bajo,mal,Basic,No Deserto
Winter,Muy Bajo,buen,Basic,No Deserto
Winter,Muy Bajo,muy buen,Advanced,No Deserto
Spring,Muy Bajo,muy buen,Advanced,No Deserto
Spring,Muy Bajo,buen,Advanced,No Deserto
Spring,Muy Bajo,mal,Basic,No Deserto
Spring,Muy Bajo,buen,Basic,No Deserto
Spring,Muy Bajo,mal,Basic,No Deserto
Winter,Muy Bajo,mal,Basic,No Deserto
Spring,Alto,buen,Advanced,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Basic,No Deserto
Spring,Alto,mal,Basic,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Spring,Alto,buen,Intermediate,No Deserto
Winter,Alto,muy buen,Intermediate,No Deserto
Spring,Medio,muy buen,Intermediate,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Basic,No Deserto
Winter,Alto,mal,Basic,No Deserto
Spring,Alto,buen,Intermediate,No Deserto
Winter,Alto,muy buen,Intermediate,No Deserto
Spring,Alto,muy buen,Intermediate,No Deserto
Winter,Alto,buen,Intermediate,No Deserto
Spring,Alto,buen,Intermediate,No Deserto
Winter,Alto,mal,Basic,No Deserto
Winter,Alto,mal,Basic,No Deserto
Winter,Alto,mal,Advanced,No Deserto
Spring,Alto,buen,Advanced,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Basic,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Winter,Alto,buen,Advanced,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Spring,Alto,buen,Advanced,No Deserto
Spring,Alto,mal,Basic,No Deserto
Winter,Alto,mal,Basic,No Deserto
Winter,Alto,buen,Intermediate,No Deserto
Spring,Alto,buen,Intermediate,No Deserto
Winter,Muy Bajo,mal,Advanced,No Deserto
Spring,Muy Bajo,mal,Intermediate,No Deserto
Spring,Muy Bajo,mal,Advanced,No Deserto
Winter,Muy Bajo,mal,Advanced,No Deserto
Spring,Muy Bajo,mal,Basic,No Deserto
Winter,Muy Alto,mal,Advanced,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Spring,Medio,buen,Basic,No Deserto
Winter,Medio,mal,Advanced,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Winter,Medio,buen,Intermediate,No Deserto
Spring,Medio,buen,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Advanced,No Deserto
Winter,Medio,excelente,Intermediate,No Deserto
Spring,Medio,excelente,Intermediate,No Deserto
Winter,Bajo,mal,Advanced,No Deserto
Winter,Medio,buen,Intermediate,No Deserto
Spring,Medio,buen,Intermediate,No Deserto
Fall,Medio,buen,Advanced,No Deserto
Winter,Medio,buen,Intermediate,No Deserto
Winter,Bajo,buen,Advanced,No Deserto
Winter,Medio,buen,Intermediate,No Deserto
Winter,Medio,excelente,Intermediate,No Deserto
Spring,Medio,excelente,Intermediate,No Deserto
Fall,Medio,excelente,Advanced,No Deserto
Winter,Medio,buen,Advanced,No Deserto
Winter,Medio,buen,Intermediate,No Deserto
Winter,Medio,excelente,Intermediate,No Deserto
Spring,Medio,excelente,Intermediate,No Deserto
Winter,Bajo,buen,Intermediate,No Deserto
Winter,Medio,buen,Intermediate,No Deserto
Winter,Medio,mal,Advanced,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Basic,No Deserto
Spring,Alto,buen,Advanced,No Deserto
Winter,Alto,mal,Basic,No Deserto
Winter,Alto,mal,Basic,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Winter,Alto,buen,Intermediate,No Deserto
Winter,Alto,muy buen,Intermediate,No Deserto
Spring,Alto,muy buen,Intermediate,No Deserto
Fall,Alto,muy buen,Advanced,No Deserto
Winter,Alto,buen,Intermediate,No Deserto
Spring,Alto,buen,Advanced,No Deserto
Winter,Alto,muy buen,Intermediate,No Deserto
Winter,Alto,mal,Advanced,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Winter,Alto,buen,Advanced,No Deserto
Spring,Alto,buen,Advanced,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Winter,Alto,muy buen,Intermediate,No Deserto
Spring,Alto,muy buen,Advanced,No Deserto
Winter,Alto,excelente,Advanced,No Deserto
Spring,Alto,excelente,Advanced,No Deserto
Winter,Alto,buen,Intermediate,No Deserto
Spring,Alto,mal,Advanced,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Spring,Alto,muy buen,Advanced,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Winter,Alto,muy buen,Intermediate,No Deserto
Spring,Alto,muy buen,Intermediate,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Spring,Alto,buen,Advanced,No Deserto
Winter,Alto,buen,Advanced,No Deserto
Spring,Medio,mal,Basic,No Deserto
Spring,Medio,buen,Intermediate,No Deserto
Spring,Medio,buen,Advanced,No Deserto
Spring,Medio,mal,Basic,No Deserto
Spring,Medio,buen,Intermediate,No Deserto
Spring,Medio,buen,Advanced,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Spring,Medio,buen,Basic,No Deserto
Winter,Bajo,mal,Advanced,No Deserto
Winter,Bajo,mal,Intermediate,No Deserto
Winter,Bajo,muy buen,Intermediate,No Deserto
Spring,Bajo,buen,Intermediate,No Deserto
Winter,Bajo,mal,Basic,No Deserto
Spring,Bajo,mal,Intermediate,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Advanced,No Deserto
Winter,Medio,mal,Advanced,No Deserto
Fall,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Summer,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Summer,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Fall,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Fall,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Advanced,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Summer,Medio,mal,Advanced,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Advanced,No Deserto
Winter,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Advanced,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Fall,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Fall,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Fall,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Basic,No Deserto
Spring,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Summer,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Fall,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Fall,Muy Alto,mal,Advanced,No Deserto
Winter,Muy Alto,mal,Intermediate,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Spring,Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Winter,Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Spring,Alto,mal,Advanced,No Deserto
Fall,Muy Alto,mal,Advanced,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Intermediate,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Fall,Muy Alto,mal,Intermediate,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Intermediate,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,buen,Basic,No Deserto
Spring,Muy Alto,buen,Intermediate,No Deserto
Winter,Muy Alto,buen,Intermediate,No Deserto
Winter,Muy Alto,buen,Intermediate,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Winter,Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Summer,Muy Alto,mal,Advanced,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Intermediate,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Summer,Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Fall,Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Winter,Alto,mal,Basic,No Deserto
Fall,Muy Alto,mal,Basic,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Intermediate,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Winter,Muy Alto,mal,Intermediate,No Deserto
Fall,Muy Alto,mal,Basic,No Deserto
Fall,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Advanced,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Intermediate,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Summer,Muy Alto,mal,Intermediate,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Fall,Muy Alto,mal,Basic,No Deserto
Summer,Muy Alto,buen,Intermediate,No Deserto
Spring,Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Basic,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Spring,Bajo,mal,Basic,No Deserto
Fall,Bajo,mal,Advanced,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Spring,Bajo,mal,Basic,No Deserto
Fall,Bajo,mal,Basic,No Deserto
Spring,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Fall,Bajo,mal,Intermediate,No Deserto
Winter,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Winter,Bajo,mal,Intermediate,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Spring,Bajo,mal,Intermediate,No Deserto
Fall,Bajo,mal,Basic,No Deserto
Fall,Bajo,mal,Intermediate,No Deserto
Fall,Bajo,mal,Advanced,No Deserto
Fall,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Fall,Bajo,mal,Basic,No Deserto
Fall,Bajo,mal,Intermediate,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Winter,Bajo,mal,Basic,No Deserto
Fall,Bajo,mal,Advanced,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Winter,Bajo,mal,Basic,No Deserto
Spring,Bajo,mal,Advanced,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Spring,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Advanced,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Spring,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Winter,Bajo,mal,Intermediate,No Deserto
Fall,Bajo,mal,Intermediate,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Spring,Bajo,mal,Intermediate,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Winter,Bajo,mal,Intermediate,No Deserto
Fall,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Winter,Bajo,mal,Basic,No Deserto
Winter,Bajo,mal,Advanced,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Fall,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Winter,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Spring,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Fall,Bajo,mal,Basic,No Deserto
Fall,Bajo,mal,Intermediate,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Advanced,No Deserto
Spring,Bajo,mal,Advanced,No Deserto
Winter,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Winter,Bajo,mal,Basic,No Deserto
Fall,Bajo,mal,Advanced,No Deserto
Fall,Bajo,mal,Intermediate,No Deserto
Winter,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Spring,Bajo,mal,Basic,No Deserto
Winter,Bajo,mal,Intermediate,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Summer,Bajo,mal,Basic,No Deserto
Fall,Bajo,mal,Advanced,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Spring,Bajo,mal,Basic,No Deserto
Fall,Muy Alto,mal,Basic,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Fall,Muy Alto,mal,Intermediate,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Fall,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Advanced,No Deserto
Fall,Muy Alto,mal,Intermediate,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Fall,Muy Alto,mal,Intermediate,No Deserto
